86,Dermatologists,4bf58dd8d48988d177941735,Doctor's Office,B
87,Ear,4bf58dd8d48988d177941735,Doctor's Office,B
88,Family Medicine,4bf58dd8d48988d177941735,Doctor's Office,B
89,Gastroenterologists,4bf58dd8d48988d177941735,Doctor's Office,B
90,General Surgery,4bf58dd8d48988d196941735,Hospital,C
91,Internal Medicine,4bf58dd8d48988d196941735,Hospital,B
92,Neurologists,4bf58dd8d48988d196941735,Hospital,B
93,Obstetricians and Gynecologists,4bf58dd8d48988d177941735,Doctor's Office,B
94,Oncologists,4bf58dd8d48988d196941735,Hospital,B
95,Ophthalmologists,4bf58dd8d48988d177941735,Doctor's Office,C
96,Orthopedic Surgeons,4bf58dd8d48988d196941735,Hospital,B
97,Pathologists,4bf58dd8d48988d196941735,Hospital,B
98,Pediatricians,4bf58dd8d48988d177941735,Doctor's Office,C
99,Plastic Surgeons,4bf58dd8d48988d177941735,Doctor's Office,C
100,Psychiatrists,4bf58dd8d48988d177941735,Doctor's Office,B
101,Radiologists,4bf58dd8d48988d196941735,Hospital,C
102,Respiratory,4bf58dd8d48988d196941735,Hospital,C
103,Urologists,4bf58dd8d48988d177941735,Doctor's Office,B
104,Podiatrists,4bf58dd8d48988d177941735,Doctor's Office,B
105,Pregnancy and Sexual Health,4bf58dd8d48988d177941735,Doctor's Office,C
106,Weight Loss and Nutritionists,4bf58dd8d48988d104941735,Medical Center,D
107,Landmarks,4bf58dd8d48988d12d941735,Monument / Landmark,B
108,Buildings and Structures,4f4530164b9074f6e4fb00ff,Tourist Information Center,F
109,Gardens,4bf58dd8d48988d15a941735,Garden,A
110,Historic and Protected Sites,4deefb944765f83613cdba6e,Historic Site,B
111,Monuments and Memorials,4bf58dd8d48988d12d941735,Monument / Landmark,B
112,Natural,4bf58dd8d48988d162941735,Other Great Outdoors,C
113,Beaches,4bf58dd8d48988d1e2941735,Beach,A
114,Mountains,4bf58dd8d48988d162941735,Other Great Outdoors,C
115,Forests,4bf58dd8d48988d162941735,Other Great Outdoors,C
116,Lakes,4bf58dd8d48988d161941735,Lake,A
117,Rivers,4eb1d4dd4b900d56c88a45fd,River,A
118,Parks,4bf58dd8d48988d163941735,Park,A
119,Natural Parks,4bf58dd8d48988d163941735,Park,B
120,Picnic Areas,4d4b7105d754a06377d81259,Outdoors & Recreation,C
121,Playgrounds,4d4b7105d754a06377d81259,Outdoors & Recreation,C
122,Urban Parks,4bf58dd8d48988d163941735,Park,A
123,Retail,4d4b7105d754a06378d81259,Shop & Service,B
124,Adult,4d4b7105d754a06378d81259,Shop & Service,D
125,Antiques,4bf58dd8d48988d116951735,Antique Shop,A
126,Arts and Crafts,4bf58dd8d48988d127951735,Arts & Crafts Store,A
127,Auctions,4d4b7105d754a06378d81259,Shop & Service,D
128,Beauty Products,4bf58dd8d48988d10c951735,Cosmetics Shop,B
129,Bicycles,4bf58dd8d48988d115951735,Bike Shop,A
130,Bookstores,4bf58dd8d48988d114951735,Bookstore,A
131,Cards and Stationery,4bf58dd8d48988d121951735,Paper / Office Supplies Store,B
132,Children,4f4532974b9074f6e4fb0104,Daycare,D
133,Computers and Electronics,4bf58dd8d48988d122951735,Electronics Store,B
134,Cameras,4eb1bdf03b7b55596b4a7491,Camera Store,A
135,Mobile Phones,4f04afc02fb6e1c99f3db0bc,Mobile Phone Shop,A
136,Video Games,4bf58dd8d48988d10b951735,Video Game Store,B
